Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
Pokémon Detective Pikachu,"$433,514,834","$144,105,346",33.2%,"$289,409,488",66.8%,2019
Terminator 3: Rise of the Machines,"$433,371,112","$150,371,112",34.7%,"$283,000,000",65.3%,2003
Die Another Day,"$431,971,116","$160,942,139",37.3%,"$271,028,977",62.7%,2002
Shang-Chi and the Legend of the Ten Rings,"$431,647,752","$224,537,817",52%,"$207,109,935",48%,2021
The Secret Life of Pets 2,"$430,051,293","$158,874,395",36.9%,"$271,176,898",63.1%,2019
Cast Away,"$429,632,142","$233,632,142",54.4%,"$196,000,000",45.6%,2000
Rampage,"$428,028,233","$101,028,233",23.6%,"$327,000,000",76.4%,2018
The King's Speech,"$427,374,317","$138,797,449",32.5%,"$288,576,868",67.5%,2010
The Matrix Revolutions,"$427,344,325","$139,313,948",32.6%,"$288,030,377",67.4%,2003
The Intouchables,"$426,588,510","$10,198,820",2.4%,"$416,389,690",97.6%,2011
Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%,2020
Django Unchained,"$426,074,373","$162,805,434",38.2%,"$263,268,939",61.8%,2012
Beauty and the Beast,"$424,967,620","$218,967,620",51.5%,"$206,000,000",48.5%,1991
Dances with Wolves,"$424,208,848","$184,208,848",43.4%,"$240,000,000",56.6%,1990
"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%,2020
The Chronicles of Narnia: Prince Caspian,"$419,665,568","$141,621,490",33.8%,"$278,044,078",66.2%,2008
