Title,Year,google_use_like,google_use_score,google_use_n_rev,movie_description,imdb_score,rotten_tom_score,metacritic_score,id
Indiana Jones and the Kingdom of the Crystal Skull,2008,0.79,0.74,394.0,"Indiana Jones, a renowned archaeologist and explorer, teams up with a young man, Mutt Williams, in order to unearth the mystery behind the legendary crystal skulls.",0.61,0.78,0.65,Indiana Jones and the Kingdom of the Crystal Skull-2008
Spider-Man 2,2004,0.86,0.9400000000000001,1586.0,"Peter Parker is dissatisfied with life when he loses his job, the love of his life, Mary Jane, and his powers. Amid all the chaos, he must fight Doctor Octavius who threatens to destroy New York City.",0.73,0.93,0.83,Spider-Man 2-2004
Fast & Furious 6,2013,0.88,0.9199999999999999,510.0,"Hobbs is tasked with catching a team of mercenary drivers who manage to evade him every time. However, he enlists the help of Dominic and his team in exchange for full pardons for their past crimes.",0.7,0.71,,Fast & Furious 6-2013
Deadpool 2,2018,0.89,0.9199999999999999,1327.0,"Deadpool protects a young mutant Russell from the authorities and gets thrown in prison. However, he escapes and forms a team of mutants to prevent a time-travelling mercenary from killing Russell.",0.77,0.84,,Deadpool 2-2018
Deadpool,2016,0.88,0.9400000000000001,2157.0,"Ajax, a twisted scientist, experiments on Wade Wilson, a mercenary, to cure him of cancer and give him healing powers. However, the experiment leaves Wade disfigured and he decides to exact revenge.",0.8,0.85,,Deadpool-2016
Star Wars: Episode IV - A New Hope,1977,0.91,0.9199999999999999,2333.0,"Princess Leia gets abducted by the insidious Darth Vader. Luke Skywalker then teams up with a Jedi Knight, a pilot and two droids to free her and to save the galaxy from the violent Galactic Empire.",0.86,0.92,,Star Wars: Episode IV - A New Hope-1977
Guardians of the Galaxy,2014,0.89,0.9400000000000001,1666.0,Peter escapes from the planet Morag with a valuable orb that Ronan the Accuser wants. He eventually forms a group with unwilling heroes to stop Ronan.,0.8,0.92,,Guardians of the Galaxy-2014
The Da Vinci Code,2006,0.87,0.8800000000000001,777.0,"Symbologist Robert Langdon travels from Paris to London to unravel a bizarre murder. Accompanied by a cryptographer, he soon comes across a religious enigma protected by an age-old secret society.",0.6599999999999999,0.26,,The Da Vinci Code-2006
Fast & Furious Presents: Hobbs & Shaw,2019,0.82,0.8,2623.0,US agent Luke Hobbs and British mercenary Deckard Shaw are forced to put their rivalry side and work together to stop a genetically enhanced supervillain.,0.65,0.67,0.6,Fast & Furious Presents: Hobbs & Shaw-2019
Maleficent,2014,0.89,0.9199999999999999,1489.0,"Maleficent is a kind-hearted fairy, who is deceived by the love of her life, Stefan. Soon, she places a curse on his daughter, Aurora, in order to exact revenge.",0.7,0.54,,Maleficent-2014
The Amazing Spider-Man,2012,0.79,0.8800000000000001,1726.0,"Peter Parker, an outcast high school student, gets bitten by a radioactive spider and attains superpowers. Soon, he is forced to use his abilities to fight a monstrous foe.",0.6900000000000001,0.72,,The Amazing Spider-Man-2012
Shrek Forever After,2010,0.85,0.86,663.0,"When Shrek realises that no one fears him, Rumpel offers him a shady deal. Thereafter, Shrek gets cast in an alternate reality where everybody is afraid of him but Fiona does not remember him.",0.63,0.58,,Shrek Forever After-2010
Madagascar 3: Europe's Most Wanted,2012,0.87,0.8800000000000001,351.0,"To get back home and evade capture by Animal Control, Alex, Marty, Gloria and Melman embark on a riotous adventure as they join a travelling circus.",0.6799999999999999,0.78,0.6,Madagascar 3: Europe's Most Wanted-2012
Suicide Squad,2016,0.76,0.76,3523.0,"Amanda Waller assembles a team of imprisoned supervillains to execute dangerous black ops missions. When an ancient witch threatens to destroy mankind, the squad is sent to stop her.",0.5900000000000001,0.26,0.4,Suicide Squad-2016
X-Men: Days of Future Past,2014,0.86,0.9400000000000001,678.0,"Wolverine travels back in time to stop Mystique from assassinating Bolivar Trask, whose death leads to the creation of the Sentinels, which are robots designed to kill mutants.",0.79,0.9,0.75,X-Men: Days of Future Past-2014
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,0.9,0.9400000000000001,1263.0,"While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realise that it was fated and they must now unite with Aslan to defeat an evil queen.",0.6900000000000001,0.76,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe-2005"
Monsters University,2013,0.89,0.9,563.0,"Mike and Sulley, two monsters, join Monsters University in order to graduate as the scariest monsters on the planet. While they are arch-rivals, gradually, they become best friends.",0.72,0.8,,Monsters University-2013
